evaluator_id,llm,story,knn1,knnK,gower_knn1,gower_knnK
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_257.txt,1.3325218189618977,1.68123014886255,0.06154166666666668,0.07795416666666669
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_47.txt,1.3325218189618977,1.7033080797873386,0.037666666666666675,0.07846250000000002
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_332.txt,1.3558553175477934,1.8374947140822535,0.07166666666666667,0.07929583333333334
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_356.txt,1.3558553175477934,1.8681604300237926,0.07166666666666667,0.09261666666666668
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_256.txt,1.4464904395116367,1.687477234202205,0.059000000000000025,0.06420833333333335
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_339.txt,1.4464904395116367,1.7273758387389109,0.06833333333333334,0.07752500000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_301.txt,1.4517169455663084,1.8546033042019645,0.06272916666666668,0.08322916666666669
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_287.txt,1.4517169455663084,1.8882114669562444,0.05885416666666668,0.07511250000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_344.txt,1.4659143523642222,1.8523391481170435,0.08037500000000003,0.09832500000000002
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_35.txt,1.4659143523642222,1.8228689896026644,0.07772916666666668,0.08516440677966103
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_191.txt,1.4992362640505184,1.7704782729846378,0.053020833333333336,0.07852083333333335
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_391.txt,1.4992362640505184,1.8135383701697063,0.053020833333333336,0.08242916666666668
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_222.txt,1.499870166627337,1.6882032508586886,0.027145833333333345,0.04856250000000002
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_84.txt,1.499870166627337,1.6712938673704554,0.05104166666666668,0.062341666666666684
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_102.txt,1.531815462844685,1.7148855434458432,0.039354166666666676,0.05631666666666668
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_91.txt,1.531815462844685,1.813148543365178,0.053,0.061508333333333345
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_187.txt,1.545408045361925,1.7324488123471098,0.052729166666666674,0.06958750000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_214.txt,1.545408045361925,1.9371961016615056,0.06652083333333333,0.06910833333333335
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_215.txt,1.5596817814400437,1.909720800816995,0.0746875,0.09505833333333334
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_162.txt,1.5603819184647008,1.7172571491167237,0.0636875,0.06905416666666668
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_31.txt,1.5603819184647008,1.7590618397980133,0.07104166666666668,0.07878750000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_20.txt,1.5604288961472936,1.6796271873303916,0.0481875,0.06565000000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_298.txt,1.5641410443050334,1.8415845439625045,0.05718750000000001,0.06207083333333334
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_89.txt,1.5641410443050334,1.8341773781271247,0.04995833333333334,0.07529583333333334
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_186.txt,1.5830967335817132,1.7460807287608116,0.06327083333333335,0.067525
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_38.txt,1.5830967335817132,1.6728251775392806,0.06477083333333335,0.0754
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_59.txt,1.6043812271001476,1.7996388238447445,0.06354166666666668,0.07162500000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_93.txt,1.6043812271001476,1.7097028988275234,0.05204166666666666,0.06391250000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_219.txt,1.6073572813420838,1.8746069373345442,0.07022916666666669,0.08771250000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_295.txt,1.6073572813420838,1.8315383517387729,0.08577083333333337,0.0953375
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_320.txt,1.61817991875116,1.8030207446112538,0.07031250000000001,0.07992336497890297
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_26.txt,1.6319141731166025,1.8338576331360195,0.06839662447257386,0.0809535864978903
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_61.txt,1.6319141731166025,1.8537631496511981,0.06825,0.0762993670886076
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_155.txt,1.652518061000265,1.8138221316863992,0.06058333333333333,0.06828750000000001
gpt-5-low,claude-opus-4-1-20250805-0K,story_wc_178.txt,1.657345141117969,1.7510352296673353,0.06266666666666668,0.07834583333333334
